Category,Tool,Description
"Hydrological Analysis
",stochastic_depression_analysis,Performs a stochastic analysis of depressions within a DEM.
"Hydrological Analysis
",strahler_order_basins,Identifies Strahler-order basins from an input stream network.
"Hydrological Analysis
",subbasins,"Identifies the catchments, or sub-basin, draining to each link in a stream network."
"Hydrological Analysis
",trace_downslope_flowpaths,Traces downslope flowpaths from one or more target sites (i.e. seed points).
"Hydrological Analysis
",unnest_basins,Extract whole watersheds for a set of outlet points.
"Hydrological Analysis
",upslope_depression_storage,Estimates the average upslope depression storage depth.
"Hydrological Analysis
",watershed,"Identifies the watershed, or drainage basin, draining to a set of target cells."
"Image Processing Tools
",change_vector_analysis,Performs a change vector analysis on a two-date multi-spectral dataset.
"Image Processing Tools
",closing,A closing is a mathematical morphology operation involving an erosion (min filter) of a dilation (max filter) set.
"Image Processing Tools
",create_colour_composite,Creates a colour-composite image from three bands of multispectral imagery.
"Image Processing Tools
",flip_image,Reflects an image in the vertical or horizontal axis.
"Image Processing Tools
",ihs_to_rgb,"Converts intensity, hue, and saturation (IHS) images into red, green, and blue (RGB) images."
"Image Processing Tools
",image_stack_profile,Plots an image stack profile (i.e. signature) for a set of points and multispectral images.
"Image Processing Tools
",integral_image,Transforms an input image (summed area table) into its integral image equivalent.
"Image Processing Tools
",line_thinning,Performs line thinning a on Boolean raster image; intended to be used with the RemoveSpurs tool.
"Image Processing Tools
",mosaic,Mosaics two or more images together.
"Image Processing Tools
",mosaic_with_feathering,Mosaics two images together using a feathering technique in overlapping areas to reduce edge-effects.
"Image Processing Tools
",normalized_difference_index,Calculate a normalized-difference index (NDI) from two bands of multispectral image data.
"Image Processing Tools
",opening,An opening is a mathematical morphology operation involving a dilation (max filter) of an erosion (min filter) set.
"Image Processing Tools
",otsu_thresholding,Applies Ostu's method for optimal binary thresholding of a continuous image.
"Image Processing Tools
",remove_spurs,Removes the spurs (pruning operation) from a Boolean line image; intended to be used on the output of the LineThinning tool.
"Image Processing Tools
",resample,Resamples one or more input images into a destination image.
"Image Processing Tools
",rgb_to_ihs,"Converts red, green, and blue (RGB) images into intensity, hue, and saturation (IHS) images."
"Image Processing Tools
",split_colour_composite,Splits an RGB colour composite image into separate multispectral images.
"Image Processing Tools
",thicken_raster_line,Thickens single-cell wide lines within a raster image.
"Image Processing Tools
",tophat_transform,Performs either a white or black top-hat transform on an input image.
"Image Processing Tools
",write_function_memory_insertion,Performs a write function memory insertion for single-band multi-date change detection.
"Image Processing Tools/Filters
",adaptive_filter,Performs an adaptive filter on an image.
"Image Processing Tools/Filters
",bilateral_filter,A bilateral filter is an edge-preserving smoothing filter introduced by Tomasi and Manduchi (1998).
"Image Processing Tools/Filters
",conservative_smoothing_filter,Performs a conservative-smoothing filter on an image.
"Image Processing Tools/Filters
",corner_detection,Identifies corner patterns in boolean images using hit-and-miss pattern matching.
"Image Processing Tools/Filters
",diff_of_gaussian_filter,Performs a Difference of Gaussian (DoG) filter on an image.
"Image Processing Tools/Filters
",diversity_filter,Assigns each cell in the output grid the number of different values in a moving window centred on each grid cell in the input raster.
"Image Processing Tools/Filters
",edge_preserving_mean_filter,Performs a simple edge-preserving mean filter on an input image.
"Image Processing Tools/Filters
",emboss_filter,"Performs an emboss filter on an image, similar to a hillshade operation."
"Image Processing Tools/Filters
",fast_almost_gaussian_filter,Performs a fast approximate Gaussian filter on an image.
"Image Processing Tools/Filters
",gaussian_filter,Performs a Gaussian filter on an image.
"Image Processing Tools/Filters
",high_pass_bilateral_filter,"Performs a high-pass bilateral filter, by differencing an input image by the bilateral filter by Tomasi and Manduchi (1998)."
"Image Processing Tools/Filters
",high_pass_filter,Performs a high-pass filter on an input image.
"Image Processing Tools/Filters
",high_pass_median_filter,Performs a high pass median filter on an input image.
"Image Processing Tools/Filters
",k_nearest_mean_filter,A k-nearest mean filter is a type of edge-preserving smoothing filter.
"Image Processing Tools/Filters
",laplacian_filter,Performs a Laplacian filter on an image.
"Image Processing Tools/Filters
",laplacian_of_gaussian_filter,Performs a Laplacian-of-Gaussian (LoG) filter on an image.
"Image Processing Tools/Filters
",lee_sigma_filter,Performs a Lee (Sigma) smoothing filter on an image.
"Image Processing Tools/Filters
",line_detection_filter,Performs a line-detection filter on an image.
"Image Processing Tools/Filters
",majority_filter,Assigns each cell in the output grid the most frequently occurring value (mode) in a moving window centred on each grid cell in the input raster.
"Image Processing Tools/Filters
",maximum_filter,Assigns each cell in the output grid the maximum value in a moving window centred on each grid cell in the input raster.
"Image Processing Tools/Filters
",mean_filter,Performs a mean filter (low-pass filter) on an input image.
"Image Processing Tools/Filters
",median_filter,Performs a median filter on an input image.
"Image Processing Tools/Filters
",minimum_filter,Assigns each cell in the output grid the minimum value in a moving window centred on each grid cell in the input raster.
"Image Processing Tools/Filters
",olympic_filter,Performs an olympic smoothing filter on an image.
"Image Processing Tools/Filters
",percentile_filter,Performs a percentile filter on an input image.
"Image Processing Tools/Filters
",prewitt_filter,Performs a Prewitt edge-detection filter on an image.
"Image Processing Tools/Filters
",range_filter,Assigns each cell in the output grid the range of values in a moving window centred on each grid cell in the input raster.
"Image Processing Tools/Filters
",roberts_cross_filter,Performs a Robert's cross edge-detection filter on an image.
"Image Processing Tools/Filters
",scharr_filter,Performs a Scharr edge-detection filter on an image.
"Image Processing Tools/Filters
",sobel_filter,Performs a Sobel edge-detection filter on an image.
"Image Processing Tools/Filters
",standard_deviation_filter,Assigns each cell in the output grid the standard deviation of values in a moving window centred on each grid cell in the input raster.
"Image Processing Tools/Filters
",total_filter,Performs a total filter on an input image.
"Image Processing Tools/Filters
",unsharp_masking,An image sharpening technique that enhances edges.
"Image Processing Tools/Filters
",user_defined_weights_filter,Performs a user-defined weights filter on an image.
"Image Processing Tools/Image Enhancement
",balance_contrast_enhancement,Performs a balance contrast enhancement on a colour-composite image of multispectral data.
"Image Processing Tools/Image Enhancement
",correct_vignetting,Corrects the darkening of images towards corners.
"Image Processing Tools/Image Enhancement
",direct_decorrelation_stretch,Performs a direct decorrelation stretch enhancement on a colour-composite image of multispectral data.
"Image Processing Tools/Image Enhancement
",gamma_correction,Performs a gamma correction on an input images.
"Image Processing Tools/Image Enhancement
",gaussian_contrast_stretch,Performs a Gaussian contrast stretch on input images.
"Image Processing Tools/Image Enhancement
",histogram_equalization,Performs a histogram equalization contrast enhancement on an image.
"Image Processing Tools/Image Enhancement
",histogram_matching,Alters the statistical distribution of a raster image matching it to a specified PDF.
"Image Processing Tools/Image Enhancement
",histogram_matching_two_images,Alters the cumulative distribution function of a raster image to that of another image.
"Image Processing Tools/Image Enhancement
",min_max_contrast_stretch,Performs a min-max contrast stretch on an input greytone image.
"Image Processing Tools/Image Enhancement
",panchromatic_sharpening,Increases the spatial resolution of image data by combining multispectral bands with panchromatic data.
"Image Processing Tools/Image Enhancement
",percentage_contrast_stretch,Performs a percentage linear contrast stretch on input images.
"Image Processing Tools/Image Enhancement
",sigmoidal_contrast_stretch,Performs a sigmoidal contrast stretch on input images.
"Image Processing Tools/Image Enhancement
",standard_deviation_contrast_stretch,Performs a standard-deviation contrast stretch on input images.
"LiDAR Tools
",ascii_to_las,Converts one or more ASCII files containing LiDAR points into LAS files.
"LiDAR Tools
",classify_buildings_in_lidar,Reclassifies a LiDAR points that lie within vector building footprints.
"LiDAR Tools
",classify_overlap_points,Classifies or filters LAS points in regions of overlapping flight lines.
"LiDAR Tools
",clip_lidar_to_polygon,Clips a LiDAR point cloud to a vector polygon or polygons.
"LiDAR Tools
",erase_polygon_from_lidar,Erases (cuts out) a vector polygon or polygons from a LiDAR point cloud.
"LiDAR Tools
",filter_lidar_classes,Removes points in a LAS file with certain specified class values.
"LiDAR Tools
",filter_lidar_scan_angles,Removes points in a LAS file with scan angles greater than a threshold.
"LiDAR Tools
",find_flightline_edge_points,Identifies points along a flightline's edge in a LAS file.
"LiDAR Tools
",flightline_overlap,Reads a LiDAR (LAS) point file and outputs a raster containing the number of overlapping flight-lines in each grid cell.
"LiDAR Tools
",height_above_ground,"Normalizes a LiDAR point cloud, providing the height above the nearest ground-classified point."
"LiDAR Tools
",individual_tree_detection,Identifies points in a LiDAR point cloud that are associated with the tops of individual trees.
"LiDAR Tools
",las_to_ascii,Converts one or more LAS files into ASCII text files.
"LiDAR Tools
",las_to_multipoint_shapefile,"Converts one or more LAS files into MultipointZ vector Shapefiles. When the input parameter is not specified, the tool grids all LAS files contained within the working directory."
"LiDAR Tools
",las_to_shapefile,Converts one or more LAS files into a vector Shapefile of POINT ShapeType.
"LiDAR Tools
",las_to_zlidar,Converts one or more LAS files into the zlidar compressed LiDAR data format.
"LiDAR Tools
",lidar_block_maximum,"Creates a block-maximum raster from an input LAS file. When the input/output parameters are not specified, the tool grids all LAS files contained within the working directory."
"LiDAR Tools
",lidar_block_minimum,"Creates a block-minimum raster from an input LAS file. When the input/output parameters are not specified, the tool grids all LAS files contained within the working directory."
"LiDAR Tools
",lidar_classify_subset,Classifies the values in one LiDAR point cloud that correspond with points in a subset cloud.
"LiDAR Tools
",lidar_colourize,Adds the red-green-blue colour fields of a LiDAR (LAS) file based on an input image.
"LiDAR Tools
",lidar_digital_surface_model,Creates a top-surface digital surface model (DSM) from a LiDAR point cloud.
"LiDAR Tools
",lidar_elevation_slice,Outputs all of the points within a LiDAR (LAS) point file that lie between a specified elevation range.
"LiDAR Tools
",lidar_ground_point_filter,Identifies ground points within LiDAR dataset using a slope-based method.
"LiDAR Tools
",lidar_hex_binning,Hex-bins a set of LiDAR points.
"LiDAR Tools
",lidar_hillshade,Calculates a hillshade value for points within a LAS file and stores these data in the RGB field.
"LiDAR Tools
",lidar_histogram,Creates a histogram of LiDAR data.
"LiDAR Tools
",lidar_idw_interpolation,"Interpolates LAS files using an inverse-distance weighted (IDW) scheme. When the input/output parameters are not specified, the tool interpolates all LAS files contained within the working directory."
"LiDAR Tools
",lidar_info,"Prints information about a LiDAR (LAS) dataset, including header, point return frequency, and classification data and information about the variable length records (VLRs) and geokeys."
"LiDAR Tools
",lidar_join,Joins multiple LiDAR (LAS) files into a single LAS file.
"LiDAR Tools
",lidar_kappa_index,Performs a kappa index of agreement (KIA) analysis on the classifications of two LAS files.
"LiDAR Tools
",lidar_nearest_neighbour_gridding,"Grids LiDAR files using nearest-neighbour scheme. When the input/output parameters are not specified, the tool grids all LAS files contained within the working directory."
"LiDAR Tools
",lidar_point_density,"Calculates the spatial pattern of point density for a LiDAR data set. When the input/output parameters are not specified, the tool grids all LAS files contained within the working directory."
"LiDAR Tools
",lidar_point_stats,"Creates several rasters summarizing the distribution of LAS point data. When the input/output parameters are not specified, the tool works on all LAS files contained within the working directory."
"LiDAR Tools
",lidar_ransac_planes,Performs a RANSAC analysis to identify points within a LiDAR point cloud that belong to linear planes.
"LiDAR Tools
",lidar_rbf_interpolation,"Interpolates LAS files using a radial basis function (RBF) scheme. When the input/output parameters are not specified, the tool interpolates all LAS files contained within the working directory."
"LiDAR Tools
",lidar_remove_duplicates,Removes duplicate points from a LiDAR data set.
"LiDAR Tools
",lidar_remove_outliers,Removes outliers (high and low points) in a LiDAR point cloud.
"LiDAR Tools
",lidar_rooftop_analysis,Identifies roof segments in a LiDAR point cloud.
"LiDAR Tools
",lidar_segmentation,Segments a LiDAR point cloud based on differences in the orientation of fitted planar surfaces and point proximity.
"LiDAR Tools
",lidar_segmentation_based_filter,Identifies ground points within LiDAR point clouds using a segmentation based approach.
"LiDAR Tools
",lidar_shift,"Shifts the x,y,z coordinates of a LiDAR file."
"LiDAR Tools
",lidar_thin,"Thins a LiDAR point cloud, reducing point density."
"LiDAR Tools
",lidar_thin_high_density,Thins points from high density areas within a LiDAR point cloud.
"LiDAR Tools
",lidar_tile,Tiles a LiDAR LAS file into multiple LAS files.
"LiDAR Tools
",lidar_tile_footprint,"Creates a vector polygon of the convex hull of a LiDAR point cloud. When the input/output parameters are not specified, the tool works with all LAS files contained within the working directory."
"LiDAR Tools
",lidar_tin_gridding,Creates a raster grid based on a Delaunay triangular irregular network (TIN) fitted to LiDAR points.
"LiDAR Tools
",lidar_tophat_transform,"Performs a white top-hat transform on a Lidar dataset; as an estimate of height above ground, this is useful for modelling the vegetation canopy."
"LiDAR Tools
",normal_vectors,Calculates normal vectors for points within a LAS file and stores these data (XYZ vector components) in the RGB field.
"LiDAR Tools
",normalize_lidar,Normalizes a LiDAR point cloud.
"LiDAR Tools
",select_tiles_by_polygon,Copies LiDAR tiles overlapping with a polygon into an output directory.
"LiDAR Tools
",zlidar_to_las,Converts one or more zlidar files into the LAS data format.
"Machine Learning
",k_means_clustering,Performs a k-means clustering operation on a multi-spectral dataset.
"Machine Learning
",modified_k_means_clustering,Performs a modified k-means clustering operation on a multi-spectral dataset.
"Math and Stats Tools
",absolute_value,Calculates the absolute value of every cell in a raster.
"Math and Stats Tools
",add,Performs an addition operation on two rasters or a raster and a constant value.
"Math and Stats Tools
",and,Performs a logical AND operator on two Boolean raster images.
"Math and Stats Tools
",anova,Performs an analysis of variance (ANOVA) test on a raster dataset.
"Math and Stats Tools
",arc_cos,Returns the inverse cosine (arccos) of each values in a raster.
"Math and Stats Tools
",arc_sin,Returns the inverse sine (arcsin) of each values in a raster.
"Math and Stats Tools
",arc_tan,Returns the inverse tangent (arctan) of each values in a raster.
"Math and Stats Tools
",arcosh,Returns the inverse hyperbolic cosine (arcosh) of each values in a raster.
"Math and Stats Tools
",arsinh,Returns the inverse hyperbolic sine (arsinh) of each values in a raster.
"Math and Stats Tools
",artanh,Returns the inverse hyperbolic tangent (arctanh) of each values in a raster.
"Math and Stats Tools
",atan2,Returns the 2-argument inverse tangent (atan2).
"Math and Stats Tools
",attribute_correlation,Performs a correlation analysis on attribute fields from a vector database.
"Math and Stats Tools
",attribute_correlation_neighbourhood_analysis,Performs a correlation on two input vector attributes within a neighbourhood search windows.
"Math and Stats Tools
",attribute_histogram,Creates a histogram for the field values of a vector's attribute table.
"Math and Stats Tools
",attribute_scattergram,Creates a scattergram for two field values of a vector's attribute table.
"Math and Stats Tools
",ceil,Returns the smallest (closest to negative infinity) value that is greater than or equal to the values in a raster.
"Math and Stats Tools
",conditional_evaluation,Performs a conditional evaluation (if-then-else) operation on a raster.
"Math and Stats Tools
",conditioned_latin_hypercube,Implements conditioned Latin Hypercube sampling.
"Math and Stats Tools
",cos,Returns the cosine (cos) of each values in a raster.
"Math and Stats Tools
",cosh,Returns the hyperbolic cosine (cosh) of each values in a raster.
"Math and Stats Tools
",crispness_index,"Calculates the Crispness Index, which is used to quantify how crisp (or conversely how fuzzy) a probability image is."
"Math and Stats Tools
",cross_tabulation,Performs a cross-tabulation on two categorical images.
"Math and Stats Tools
",cumulative_distribution,Converts a raster image to its cumulative distribution function.
"Math and Stats Tools
",decrement,Decreases the values of each grid cell in an input raster by 1.0 (see also InPlaceSubtract).
"Math and Stats Tools
",divide,Performs a division operation on two rasters or a raster and a constant value.
"Math and Stats Tools
",equal_to,Performs a equal-to comparison operation on two rasters or a raster and a constant value.
"Math and Stats Tools
",exp,Returns the exponential (base e) of values in a raster.
"Math and Stats Tools
",exp2,Returns the exponential (base 2) of values in a raster.
"Math and Stats Tools
",floor,Returns the largest (closest to positive infinity) value that is less than or equal to the values in a raster.
"Math and Stats Tools
",greater_than,Performs a greater-than comparison operation on two rasters or a raster and a constant value.
"Math and Stats Tools
",image_autocorrelation,Performs Moran's I analysis on two or more input images.
"Math and Stats Tools
",image_correlation,Performs image correlation on two or more input images.
"Math and Stats Tools
",image_correlation_neighbourhood_analysis,Performs image correlation on two input images neighbourhood search windows.
"Math and Stats Tools
",image_regression,Performs image regression analysis on two input images.
"Math and Stats Tools
",in_place_add,Performs an in-place addition operation (input1 += input2).
"Math and Stats Tools
",in_place_divide,Performs an in-place division operation (input1 /= input2).
"Math and Stats Tools
",in_place_multiply,Performs an in-place multiplication operation (input1 *= input2).
"Math and Stats Tools
",in_place_subtract,Performs an in-place subtraction operation (input1 -= input2).
"Math and Stats Tools
",increment,Increases the values of each grid cell in an input raster by 1.0. (see also InPlaceAdd)
"Math and Stats Tools
",integer_division,Performs an integer division operation on two rasters or a raster and a constant value.
"Math and Stats Tools
",is_no_data,Identifies NoData valued pixels in an image.
"Math and Stats Tools
",kappa_index,Performs a kappa index of agreement (KIA) analysis on two categorical raster files.
"Math and Stats Tools
",ks_test_for_normality,Evaluates whether the values in a raster are normally distributed.
"Math and Stats Tools
",less_than,Performs a less-than comparison operation on two rasters or a raster and a constant value.
"Math and Stats Tools
",list_unique_values,Lists the unique values contained in a field within a vector's attribute table.
"Math and Stats Tools
",list_unique_values_raster,Lists the unique values contained in a field within a vector's attribute table.
"Math and Stats Tools
",ln,Returns the natural logarithm of values in a raster.
"Math and Stats Tools
",log10,Returns the base-10 logarithm of values in a raster.
"Math and Stats Tools
",log2,Returns the base-2 logarithm of values in a raster.
"Math and Stats Tools
",max,Performs a MAX operation on two rasters or a raster and a constant value.
"Math and Stats Tools
",min,Performs a MIN operation on two rasters or a raster and a constant value.
"Math and Stats Tools
",modulo,Performs a modulo operation on two rasters or a raster and a constant value.
"Math and Stats Tools
",multiply,Performs a multiplication operation on two rasters or a raster and a constant value.
"Math and Stats Tools
",negate,Changes the sign of values in a raster or the 0-1 values of a Boolean raster.
"Math and Stats Tools
",not,Performs a logical NOT operator on two Boolean raster images.
"Math and Stats Tools
",not_equal_to,Performs a not-equal-to comparison operation on two rasters or a raster and a constant value.
"Math and Stats Tools
",or,Performs a logical OR operator on two Boolean raster images.
"Math and Stats Tools
",paired_sample_t_test,Performs a 2-sample K-S test for significant differences on two input rasters.
"Math and Stats Tools
",power,"Raises the values in grid cells of one rasters, or a constant value, by values in another raster or constant value."
"Math and Stats Tools
",principal_component_analysis,Performs a principal component analysis (PCA) on a multi-spectral dataset.
"Math and Stats Tools
",quantiles,Transforms raster values into quantiles.
"Math and Stats Tools
",random_field,Creates an image containing random values.
"Math and Stats Tools
",random_sample,Creates an image containing randomly located sample grid cells with unique IDs.
"Math and Stats Tools
",raster_calculator,Performs a complex mathematical operations on one or more input raster images on a cell-to-cell basis.
"Math and Stats Tools
",raster_histogram,Creates a histogram from raster values.
"Math and Stats Tools
",raster_summary_stats,"Measures a rasters min, max, average, standard deviation, num. non-nodata cells, and total."
"Math and Stats Tools
",reciprocal,Returns the reciprocal (i.e. 1 / z) of values in a raster.
"Math and Stats Tools
",rescale_value_range,Performs a min-max contrast stretch on an input greytone image.
"Math and Stats Tools
",root_mean_square_error,Calculates the RMSE and other accuracy statistics.
"Math and Stats Tools
",round,Rounds the values in an input raster to the nearest integer value.
"Math and Stats Tools
",sin,Returns the sine (sin) of each values in a raster.
"Math and Stats Tools
",sinh,Returns the hyperbolic sine (sinh) of each values in a raster.
"Math and Stats Tools
",square,Squares the values in a raster.
"Math and Stats Tools
",square_root,Returns the square root of the values in a raster.
"Math and Stats Tools
",subtract,Performs a differencing operation on two rasters or a raster and a constant value.
"Math and Stats Tools
",tan,Returns the tangent (tan) of each values in a raster.
"Math and Stats Tools
",tanh,Returns the hyperbolic tangent (tanh) of each values in a raster.
"Math and Stats Tools
",to_degrees,Converts a raster from radians to degrees.
"Math and Stats Tools
",to_radians,Converts a raster from degrees to radians.
"Math and Stats Tools
",trend_surface,Estimates the trend surface of an input raster file.
"Math and Stats Tools
",trend_surface_vector_points,Estimates a trend surface from vector points.
"Math and Stats Tools
",truncate,Truncates the values in a raster to the desired number of decimal places.
"Math and Stats Tools
",turning_bands_simulation,Creates an image containing random values based on a turning-bands simulation.
"Math and Stats Tools
",two_sample_ks_test,Performs a 2-sample K-S test for significant differences on two input rasters.
"Math and Stats Tools
",wilcoxon_signed_rank_test,Performs a 2-sample K-S test for significant differences on two input rasters.
"Math and Stats Tools
",xor,Performs a logical XOR operator on two Boolean raster images.
"Math and Stats Tools
",z_scores,Standardizes the values in an input raster by converting to z-scores.
"Math and Stats Tools
",zonal_statistics,Extracts descriptive statistics for a group of patches in a raster.
"Stream Network Analysis
",correct_stream_vector_direction,This tool resolves directional errors in digitized vector streams.
"Stream Network Analysis
",distance_to_outlet,Calculates the distance of stream grid cells to the channel network outlet cell.
"Stream Network Analysis
",extract_streams,Extracts stream grid cells from a flow accumulation raster.
"Stream Network Analysis
",extract_valleys,Identifies potential valley bottom grid cells based on local topolography alone.
"Stream Network Analysis
",farthest_channel_head,Calculates the distance to the furthest upstream channel head for each stream cell.
"Stream Network Analysis
",find_main_stem,"Finds the main stem, based on stream lengths, of each stream network."
"Stream Network Analysis
",hack_stream_order,Assigns the Hack stream order to each tributary in a stream network.
"Stream Network Analysis
",horton_stream_order,Assigns the Horton stream order to each tributary in a stream network.
"Stream Network Analysis
",length_of_upstream_channels,Calculates the total length of channels upstream.
"Stream Network Analysis
",long_profile,Plots the stream longitudinal profiles for one or more rivers.
"Stream Network Analysis
",long_profile_from_points,Plots the longitudinal profiles from flow-paths initiating from a set of vector points.
"Stream Network Analysis
",raster_streams_to_vector,Converts a raster stream file into a vector file.
"Stream Network Analysis
",rasterize_streams,Rasterizes vector streams based on Lindsay (2016) method.
"Stream Network Analysis
",remove_short_streams,Removes short first-order streams from a stream network.
"Stream Network Analysis
",repair_stream_vector_topology,This tool resolves topological errors and inconsistencies associated with digitized vector streams.
"Stream Network Analysis
",shreve_stream_magnitude,Assigns the Shreve stream magnitude to each link in a stream network.
"Stream Network Analysis
",strahler_stream_order,Assigns the Strahler stream order to each link in a stream network.
"Stream Network Analysis
",stream_link_class,Identifies the exterior/interior links and nodes in a stream network.
"Stream Network Analysis
",stream_link_identifier,Assigns a unique identifier to each link in a stream network.
"Stream Network Analysis
",stream_link_length,Estimates the length of each link (or tributary) in a stream network.
"Stream Network Analysis
",stream_link_slope,Estimates the average slope of each link (or tributary) in a stream network.
"Stream Network Analysis
",stream_slope_continuous,Estimates the slope of each grid cell in a stream network.
"Stream Network Analysis
",topological_stream_order,Assigns each link in a stream network its topological order.
"Stream Network Analysis
",tributary_identifier,Assigns a unique identifier to each tributary in a stream network.
"Stream Network Analysis
",vector_stream_network_analysis,This tool performs common stream network analysis operations on an input vector stream file.
"Whitebox Utilities
",install_wb_extension,Use to install a Whitebox extension product.
"Whitebox Utilities
",launch_wb_runner,Opens the Whitebox Runner application.
